"xSectMax","vimpelId","xSectAvg","name","diameter","depth","mass","span","cosparId","satno","height","width","xSectMin","shape","objectClass"
"0.0938083",,"0.08","KSF1-B",NULL,"0.2","10","0.3","2021-059AZ","48926.0","0.3","0.2","0.04","Box","Payload"
"0.0938083",,"0.08","KSF1-C",NULL,"0.2","10","0.3","2021-059BR","48942.0","0.3","0.2","0.04","Box","Payload"
"23.657",,"13.5615","Starlink 2740",NULL,"1.5","260","8.86","2021-044BE","48690.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"23.657",,"13.5615","Starlink 2750",NULL,"1.5","260","8.86","2021-044BF","48691.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"23.657",,"13.5615","Starlink 2752",NULL,"1.5","260","8.86","2021-044BG","48692.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.0938083",,"0.08","KSF1-D",NULL,"0.2","10","0.3","2021-059BZ","48950.0","0.3","0.2","0.04","Box","Payload"
"23.657",,"13.5615","Starlink 2618",NULL,"1.5","260","8.86","2021-044BH","48693.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"21.3256",,"14.4233","Iridium Next SV151",NULL,"1.5","860","9.4","2017-083E","43074.0","3.1","1.5","1.8988","Trap Cyl + 2 Pan","Payload"
"0.0994987",,"0.075","KickSat-2",NULL,"0.3","2.68","0.3","2018-092G","44046.0","0.3","0.1","0.03","Box","Payload"
"23.657",,"13.5615","Starlink 1130 (Darksat)",NULL,"1.5","260","8.86","2020-001BL","44972.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"21.3256",,"14.4233","Iridium Next SV134",NULL,"1.5","860","9.4","2017-083F","43075.0","3.1","1.5","1.8988","Trap Cyl + 2 Pan","Payload"
"0.2304",,"0.195","ETRSS-1",NULL,"0.3","70",NULL,"2019-093B","44880.0","0.5","0.3","0.09","Box + 2 Pan","Payload"
"45.3806",,"39.98","Falcon 9 Merlin-V (1D+) (Falcon 9 v1.2)","3.66",NULL,"4300","15.95","2018-001IA",,"15.53",NULL,"10.5052","Cyl","Rocket Body"
"23.657",,"13.5615","Starlink 1144",NULL,"1.5","260","8.86","2020-001BM","44973.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.123693",,"0.105","Tianqin-1",NULL,"0.3","35","0.3","2019-093C","44881.0","0.2","0.3","0.06","Box","Payload"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"100",NULL,"2020-001BN","44974.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"49.1973",,"45.3536","Delta IV DCSS 5 (Delta 4M+(5,2))",NULL,NULL,"3510","8.8","2018-005IA",,"8.8",NULL,"20.3482","Cyl + 1 Nozzle","Rocket Body"
"40.0261",,"34.6463","Centaur-5 SEC (Atlas V 411)","3.1",NULL,"2020","12.68","2018-009IA",,"12.68",NULL,"7.54768","Cyl + 1 Nozzle","Rocket Body"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"100",NULL,"2020-001BP","44975.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"0.230434",,"0.195","Shuntian",NULL,"0.3","40",NULL,"2019-093D","44882.0","0.5","0.3","0.09","Box","Payload"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"100",NULL,"2020-001BQ","44976.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"2.1324",,"1.79827","Gonets-M No. 27","0.8",NULL,"225","7","2020-068A","46486.0","1.6",NULL,"1.5721","Cyl + 1 Ant","Payload"
"0.2304",,"0.195","BDSAGR-1",NULL,"0.3","65",NULL,"2019-093A","44879.0","0.5","0.3","0.09","Box + 2 Pan","Payload"
"45.3806",,"39.98","Falcon 9 Merlin-V (1D+) (Falcon 9 v1.2)","3.66",NULL,"4300","15.95","2018-030IA",,"15.53",NULL,"10.5052","Cyl","Rocket Body"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"100",NULL,"2020-001BR","44977.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"45.3806",,"39.98","Falcon 9 Merlin-V (1D+) (Falcon 9 v1.2)","3.66",NULL,"4300","15.95","2018-032IA",,"15.53",NULL,"10.5052","Cyl","Rocket Body"
"6.20029",,"3.58533","Microsat-R",NULL,"1","740","5","2019-006A","43947.0","2","1","1","Box + 2 Pan","Payload"
"0.0938083",,"0.08","D2/AtlaCom-1",NULL,"0.2","10","0.3","2021-059AV","48922.0","0.3","0.2","0.04","Box + 2 Pan","Payload"
"45.3806",,"39.98","Falcon 9 Merlin-V (1D+) (Falcon 9 v1.2)","3.66",NULL,"4300","15.95","2018-055IA",,"15.53",NULL,"10.5052","Cyl","Rocket Body"
"45.3806",,"39.98","Falcon 9 Merlin-V (1D+) (Falcon 9 v1.2)","3.66",NULL,"4300","15.95","2018-061IA",,"15.53",NULL,"10.5052","Cyl","Rocket Body"
"0.043589",,"0.035","Lemur-2 AnnaBanana",NULL,"0.1","4.6","0.3","2021-059AW","48923.0","0.3","0.1","0.01","Box + 2 Pan","Payload"
"0.230434",,"0.195","Yuheng",NULL,"0.3","40",NULL,"2019-093F","44884.0","0.5","0.3","0.09","Box","Payload"
